step,a_km,e,i_deg,Omega_deg,omega_deg,nu_deg,period_s,r_apogee_km,r_perigee_km
42,883197.1609590085,0.9886510935937189,-2.1760371282653068e-14,0,0,0,8260336.085923034,1756371.0,10023.321918016933
43,883397.7937941502,0.9881994412239503,-2.1760371282653068e-14,0,0,0,8263150.953607698,1756371.0,10424.58758830049
44,883602.4352642553,0.9877389761547335,-2.1760371282653068e-14,0,0,0,8266022.391532641,1756371.0,10833.870528510588
45,883811.0908783091,0.9872696983860691,-2.1760371282653068e-14,0,0,0,8268950.496515079,1756371.0,11251.181756618123
46,884023.7662572856,0.9867916079179562,-2.1760371282653068e-14,0,0,0,8271935.367359457,1756371.0,11676.532514571296
47,884240.4671345279,0.9863047047503952,-2.1760371282653068e-14,0,0,0,8274977.104865281,1756371.0,12109.93426905581
48,884461.1993561381,0.9858089888833865,-2.1760371282653068e-14,0,0,0,8278075.811835129,1756371.0,12551.398712276241
49,884685.9688813759,0.9853044603169296,-2.1760371282653068e-14,0,0,0,8281231.593082834,1756371.0,13000.937762751806
50,884914.7817830634,0.984791119051025,-2.1760371282653068e-14,0,0,0,8284444.555441827,1756371.0,13458.563566126793
51,885147.6442480005,0.9842689650856715,-2.1760371282653068e-14,0,0,0,8287714.807773666,1756371.0,13924.2884960009
52,885384.5625773852,0.9837379984208703,-2.1760371282653068e-14,0,0,0,8291042.460976705,1756371.0,14398.12515477051
53,885625.5431872464,0.9831982190566213,-2.1760371282653068e-14,0,0,0,8294427.627994978,1756371.0,14880.086374492885
54,885870.5926088816,0.9826496269929244,-2.1760371282653068e-14,0,0,0,8297870.423827232,1756371.0,15370.185217763248
55,886119.7174893048,0.9820922222297788,-2.1760371282653068e-14,0,0,0,8301370.965536137,1756371.0,15868.434978609694
56,886372.9245917016,0.9815260047671852,-2.1760371282653068e-14,0,0,0,8304929.372257678,1756371.0,16374.849183403197
57,886630.2207958939,0.9809509746051439,-2.1760371282653068e-14,0,0,0,8308545.765210724,1756371.0,16889.441591787847
58,886891.6130988135,0.9803671317436544,-2.1760371282653068e-14,0,0,0,8312220.267706785,1756371.0,17412.22619762682
59,887157.1086149821,0.979774476182717,-2.1760371282653068e-14,0,0,0,8315953.005159926,1756371.0,17943.21722996428
60,887426.7145770036,0.9791730079223309,-2.1760371282653068e-14,0,0,0,8319744.1050969,1756371.0,18482.429154007204
61,887700.4383360604,0.9785627269624975,-2.1760371282653068e-14,0,0,0,8323593.697167426,1756371.0,19029.87667212081
62,887978.2873624242,0.9779436333032154,-2.1760371282653068e-14,0,0,0,8327501.913154695,1756371.0,19585.57472484837
63,888260.2692459701,0.9773157269444859,-2.1760371282653068e-14,0,0,0,8331468.886986016,1756371.0,20149.538491940082
64,888546.3916967043,0.9766790078863077,-2.1760371282653068e-14,0,0,0,8335494.754743694,1756371.0,20721.78339340861
65,888836.6625452973,0.976033476128682,-2.1760371282653068e-14,0,0,0,8339579.654676069,1756371.0,21302.32509059452
66,889131.0897436289,0.9753791316716078,-2.1760371282653068e-14,0,0,0,8343723.727208764,1756371.0,21891.179487257723
67,889429.6813653402,0.9747159745150857,-2.1760371282653068e-14,0,0,0,8347927.114956119,1756371.0,22488.362730680437
68,889732.4456063969,0.974044004659115,-2.1760371282653068e-14,0,0,0,8352189.962732825,1756371.0,23093.89121279385
69,890039.3907856593,0.9733632221036967,-2.1760371282653068e-14,0,0,0,8356512.417565744,1756371.0,23707.781571318665
70,890350.5253454648,0.972673626848831,-2.1760371282653068e-14,0,0,0,8360894.628705943,1756371.0,24330.05069092956
71,890665.8578522182,0.9719752188945161,-2.1760371282653068e-14,0,0,0,8365336.747640931,1756371.0,24960.71570443645
72,890985.3969969901,0.9712679982407539,-2.1760371282653068e-14,0,0,0,8369838.928107065,1756371.0,25599.79399398007
73,891309.1515961285,0.9705519648875431,-2.1760371282653068e-14,0,0,0,8374401.326102215,1756371.0,26247.303192256928
74,891637.1305918766,0.9698271188348846,-2.1760371282653068e-14,0,0,0,8379024.099898583,1756371.0,26903.261183753177
75,891969.343053003,0.9690934600827781,-2.1760371282653068e-14,0,0,0,8383707.410055767,1756371.0,27567.686106005847
76,892305.79817544,0.9683509886312229,-2.1760371282653068e-14,0,0,0,8388451.419434012,1756371.0,28240.596350880198
77,892646.5052829328,0.9675997044802205,-2.1760371282653068e-14,0,0,0,8393256.293207685,1756371.0,28922.010565865454
78,892991.4738276985,0.9668396076297694,-2.1760371282653068e-14,0,0,0,8398122.19887897,1756371.0,29611.947655396998
79,893340.7133910953,0.9660706980798703,-2.1760371282653068e-14,0,0,0,8403049.306291765,1756371.0,30310.42678219049
80,893694.2336843014,0.9652929758305235,-2.1760371282653068e-14,0,0,0,8408037.787645793,1756371.0,31017.467368602796
81,894052.0445490059,0.9645064408817283,-2.1760371282653068e-14,0,0,0,8413087.817510968,1756371.0,31733.089098011806
82,894414.1559581074,0.9637110932334851,-2.1760371282653068e-14,0,0,0,8418199.572841944,1756371.0,32457.311916214843
83,894780.5780164257,0.9629069328857938,-2.1760371282653068e-14,0,0,0,8423373.232992908,1756371.0,33190.156032851526
84,895151.3209614225,0.9620939598386546,-2.1760371282653068e-14,0,0,0,8428608.979732601,1756371.0,33931.64192284503
85,895526.3951639337,0.9612721740920671,-2.1760371282653068e-14,0,0,0,8433906.997259567,1756371.0,34681.79032786754
86,895905.8111289118,0.9604415756460318,-2.1760371282653068e-14,0,0,0,8439267.472217621,1756371.0,35440.622257823554
87,896289.5794961797,0.9596021645005484,-2.1760371282653068e-14,0,0,0,8444690.593711585,1756371.0,36208.15899235935
88,896677.7110411956,0.9587539406556165,-2.1760371282653068e-14,0,0,0,8450176.553323219,1756371.0,36984.42208239113
89,897070.2166758279,0.9578969041112371,-2.1760371282653068e-14,0,0,0,8455725.545127416,1756371.0,37769.43335165572
90,897467.1074491437,0.957031054867409,-2.1760371282653068e-14,0,0,0,8461337.765708646,1756371.0,38563.214898287384
91,897868.3945482054,0.9561563929241332,-2.1760371282653068e-14,0,0,0,8467013.414177615,1756371.0,39365.78909641083
92,898274.0892988818,0.9552729182814095,-2.1760371282653068e-14,0,0,0,8472752.692188205,1756371.0,40177.178597763566
93,898684.2031666688,0.9543806309392375,-2.1760371282653068e-14,0,0,0,8478555.803954631,1756371.0,40997.4063333375
94,899098.7477575222,0.9534795308976178,-2.1760371282653068e-14,0,0,0,8484422.956268884,1756371.0,41826.495515044306
95,899264.0,0.953120551918013,-2.1760371282653068e-14,0,0,0,8486762.189326657,1756371.0,42156.99999999993
96,882160.8741841508,0.952211664296506,-2.1760371282653068e-14,0,0,0,8245802.1302542705,1722164.7483683017,42156.99999999988
97,865699.9360336957,0.9513029882003375,-2.1760371282653068e-14,0,0,0,8016084.735126196,1689242.8720673916,42156.99999999991
98,849845.684076063,0.9503945236295078,-2.1760371282653068e-14,0,0,0,7796888.632310307,1657534.3681521262,42156.9999999999
99,834565.1862849967,0.9494862705840168,-2.1760371282653068e-14,0,0,0,7587550.900930873,1626973.3725699934,42156.999999999935
100,819827.8517548165,0.9485782290638649,-2.1760371282653068e-14,0,0,0,7387461.38421108,1597498.703509633,42156.99999999989
101,805605.2262968306,0.9476703990690512,-2.1760371282653068e-14,0,0,0,7196057.645320039,1569053.4525936611,42156.99999999988
102,791870.8090840802,0.9467627805995766,-2.1760371282653068e-14,0,0,0,7012820.483393861,1541584.6181681603,42156.999999999935
103,778599.8878582268,0.9458553736554401,-2.1760371282653068e-14,0,0,0,6837269.939152502,1515042.7757164538,42156.99999999989
104,765769.3905428521,0.9449481782366426,-2.1760371282653068e-14,0,0,0,6668961.729451179,1489381.7810857042,42156.99999999994
105,753357.7513884113,0.9440411943431841,-2.1760371282653068e-14,0,0,0,6507484.058478546,1464558.5027768225,42156.99999999992
106,741344.7900153908,0.9431344219750641,-2.1760371282653068e-14,0,0,0,6352454.760427559,1440532.5800307817,42156.9999999999
107,729711.6019285358,0.9422278611322825,-2.1760371282653068e-14,0,0,0,6203518.734506083,1417266.2038570717,42156.999999999956
108,718440.4592526875,0.9413215118148397,-2.1760371282653068e-14,0,0,0,6060345.638309468,1394723.918505375,42156.99999999997
109,707514.7205939629,0.9404153740227357,-2.1760371282653068e-14,0,0,0,5922627.809985173,1372872.4411879259,42156.999999999956
110,696918.7490623516,0.9395094477559705,-2.1760371282653068e-14,0,0,0,5790078.39339755,1351680.4981247033,42156.999999999905
111,686637.8376064184,0.9386037330145439,-2.1760371282653068e-14,0,0,0,5662429.643746996,1331118.6752128368,42156.999999999905
112,676658.1409103338,0.9376982297984555,-2.1760371282653068e-14,0,0,0,5539431.393894277,1311159.2818206677,42156.99999999993
113,666966.6131900981,0.9367929381077065,-2.1760371282653068e-14,0,0,0,5420849.664055755,1291776.2263801962,42156.99999999993
114,657550.9513011802,0.9358878579422956,-2.1760371282653068e-14,0,0,0,5306465.399622607,1272944.9026023604,42156.999999999956
115,648399.5426360294,0.9349829893022238,-2.1760371282653068e-14,0,0,0,5196073.323672058,1254642.085272059,42156.99999999993
116,639501.4173473329,0.9340783321874904,-2.1760371282653068e-14,0,0,0,5089480.8923089355,1236845.8346946659,42156.99999999996
117,630846.2044838726,0.9331738865980961,-2.1760371282653068e-14,0,0,0,4986507.342350725,1219535.4089677453,42156.99999999994
118,622424.0916700924,0.9322696525340399,-2.1760371282653068e-14,0,0,0,4886982.822062341,1202691.1833401849,42156.99999999994
119,614225.7879999059,0.9313656299953228,-2.1760371282653068e-14,0,0,0,4790747.596695258,1186294.5759998118,42156.999999999956
120,606242.4898496254,0.9304618189819445,-2.1760371282653068e-14,0,0,0,4697651.321498995,1170327.9796992508,42156.99999999994
121,598465.8493456456,0.9295582194939046,-2.1760371282653068e-14,0,0,0,4607552.375679044,1154774.6986912913,42156.99999999993
122,590887.9452494065,0.9286548315312034,-2.1760371282653068e-14,0,0,0,4520317.251480256,1139618.890498813,42156.99999999995
123,583501.2560461601,0.927751655093841,-2.1760371282653068e-14,0,0,0,4435819.993197114,1124845.5120923205,42156.99999999994
124,576298.6350453724,0.9268486901818171,-2.1760371282653068e-14,0,0,0,4353941.68146147,1110440.2700907448,42156.99999999993
125,569273.2873194822,0.9259459367951319,-2.1760371282653068e-14,0,0,0,4274569.958642689,1096389.5746389644,42156.999999999956
126,562418.7483245764,0.9250433949337855,-2.1760371282653068e-14,0,0,0,4197598.591623984,1082680.4966491528,42156.999999999956
127,555728.8640616097,0.9241410645977779,-2.1760371282653068e-14,0,0,0,4122927.068599377,1069300.7281232195,42156.99999999992
128,549197.772650186,0.923238945787109,-2.1760371282653068e-14,0,0,0,4050460.2268727315,1056238.5453003722,42156.99999999993
129,542819.8871989364,0.9223370385017785,-2.1760371282653068e-14,0,0,0,3980107.9089404535,1043482.7743978729,42156.999999999935
130,536589.8798672983,0.9214353427417871,-2.1760371282653068e-14,0,0,0,3911784.6444065925,1031022.7597345967,42156.99999999994
131,530502.6670230926,0.9205338585071339,-2.1760371282653068e-14,0,0,0,3845409.355516632,1018848.3340461854,42156.99999999992
132,524553.395409059,0.9196325857978197,-2.1760371282653068e-14,0,0,0,3780905.08430979,1006949.790818118,42156.999999999905
133,518737.4292391541,0.9187315246138442,-2.1760371282653068e-14,0,0,0,3718198.739578107,995317.8584783082,42156.99999999992
134,513050.33815257676,0.9178306749552072,-2.1760371282653068e-14,0,0,0,3657220.861992203,983943.6763051536,42156.99999999994
135,507487.88595970307,0.9169300368219087,-2.1760371282653068e-14,0,0,0,3597905.4059048435,972818.7719194061,42156.999999999956
136,502046.0201198592,0.9160296102139495,-2.1760371282653068e-14,0,0,0,3540189.5364806717,961935.0402397185,42156.99999999995
137,496720.86189598305,0.9151293951313285,-2.1760371282653068e-14,0,0,0,3484013.4409229476,951284.7237919661,42156.99999999991
138,491508.69713596924,0.9142293915740463,-2.1760371282653068e-14,0,0,0,3429320.152679535,940860.3942719386,42156.99999999991
139,486405.96763457987,0.913329599542103,-2.1760371282653068e-14,0,0,0,3376055.3876084494,930654.9352691598,42156.99999999991
140,481409.263033744,0.9124300190354979,-2.1760371282653068e-14,0,0,0,3324167.3911742275,920661.5260674881,42156.999999999935
141,476515.3132225146,0.911530650054232,-2.1760371282653068e-14,0,0,0,3273606.795827065,910873.6264450293,42156.99999999991
142,471720.9812010377,0.9106314925983047,-2.1760371282653068e-14,0,0,0,3224326.487789126,901284.9624020755,42156.99999999992
143,467023.2563758668,0.9097325466677159,-2.1760371282653068e-14,0,0,0,3176281.482539755,891889.5127517338,42156.999999999935
144,462419.24825648265,0.9088338122624658,-2.1760371282653068e-14,0,0,0,3129428.8083503996,882681.4965129653,42156.99999999991
145,457906.180525283,0.9079352893825545,-2.1760371282653068e-14,0,0,0,3083727.3972746306,873655.3610505661,42156.99999999993
146,453481.3854554904,0.907036978027982,-2.1760371282653068e-14,0,0,0,3039137.9830480753,864805.7709109808,42156.99999999992
147,449142.29865338723,0.9061388781987479,-2.1760371282653068e-14,0,0,0,2995623.005397669,856127.5973067745,42156.999999999905
148,444886.45410311123,0.9052409898948526,-2.1760371282653068e-14,0,0,0,2953146.52030046,847615.9082062226,42156.99999999992
149,440711.479493879,0.904343313116296,-2.1760371282653068e-14,0,0,0,2911674.115769039,839265.958987758,42156.99999999992
150,436615.09181104566,0.9034458478630779,-2.1760371282653068e-14,0,0,0,2871172.8327746657,831073.1836220914,42156.999999999905
151,432595.0931737828,0.9025485941351985,-2.1760371282653068e-14,0,0,0,2831611.0909497673,823033.1863475657,42156.99999999993
152,428649.3669034185,0.9016515519326579,-2.1760371282653068e-14,0,0,0,2792958.618739446,815141.7338068371,42156.99999999993
153,424775.8738076749,0.9007547212554561,-2.1760371282653068e-14,0,0,0,2755186.3876975193,807394.74761535,42156.99999999991
154,420972.64866709156,0.899858102103593,-2.1760371282653068e-14,0,0,0,2718266.550645813,799788.2973341832,42156.99999999991
155,417237.7969109158,0.8989616944770685,-2.1760371282653068e-14,0,0,0,2682172.383436964,792318.5938218317,42156.99999999994
156,413569.4914706459,0.8980654983758827,-2.1760371282653068e-14,0,0,0,2646878.23008058,784981.9829412919,42156.99999999993
157,409965.96980025264,0.8971695138000355,-2.1760371282653068e-14,0,0,0,2612359.4510106305,777774.9396005054,42156.999999999935
158,406425.5310528587,0.8962737407495271,-2.1760371282653068e-14,0,0,0,2578592.3742882903,770694.0621057175,42156.99999999993
159,402946.5334043831,0.8953781792243573,-2.1760371282653068e-14,0,0,0,2545554.2495497847,763736.0668087662,42156.99999999991
160,399527.3915153035,0.894482829224526,-2.1760371282653068e-14,0,0,0,2513223.204522579,756897.783030607,42156.99999999993
161,396166.57412228134,0.8935876907500336,-2.1760371282653068e-14,0,0,0,2481578.2039459534,750176.1482445628,42156.99999999992
162,392862.60175197414,0.8926927638008799,-2.1760371282653068e-14,0,0,0,2450599.010743928,743568.2035039484,42156.999999999935
163,389614.04454985843,0.8917980483770648,-2.1760371282653068e-14,0,0,0,2420266.149309191,737071.0890997169,42156.99999999991
164,386419.52021737536,0.8909035444785889,-2.1760371282653068e-14,0,0,0,2390560.870766738,730682.0404347508,42156.99999999991
165,383277.692051126,0.8900092521054511,-2.1760371282653068e-14,0,0,0,2361465.120094881,724398.3841022521,42156.99999999994
166,380187.26707831246,0.8891151712576522,-2.1760371282653068e-14,0,0,0,2332961.5049903104,718217.534156625,42156.999999999935
167,377146.994282914,0.8882213019351914,-2.1760371282653068e-14,0,0,0,2305033.266370902,712136.9885658281,42156.99999999992
168,374155.66291752685,0.88732764413807,-2.1760371282653068e-14,0,0,0,2277664.2504180395,706154.3258350538,42156.99999999992
169,371212.1008960439,0.8864341978662873,-2.1760371282653068e-14,0,0,0,2250838.882066117,700267.2017920879,42156.99999999991
170,368315.17326272745,0.885540963119843,-2.1760371282653068e-14,0,0,0,2224542.139853791,694473.3465254549,42156.99999999994
171,365463.7807334525,0.8846479398987372,-2.1760371282653068e-14,0,0,0,2198759.5320567056,688770.5614669052,42156.99999999993
172,362656.8583051868,0.8837551282029705,-2.1760371282653068e-14,0,0,0,2173477.0740269767,683156.7166103737,42156.99999999992
173,359893.3739300065,0.8828625280325423,-2.1760371282653068e-14,0,0,0,2148681.2666695146,677629.7478600132,42156.99999999992
174,357172.32725019834,0.8819701393874531,-2.1760371282653068e-14,0,0,0,2124359.0759900375,672187.6545003968,42156.99999999991
175,354492.7483911639,0.8810779622677023,-2.1760371282653068e-14,0,0,0,2100497.913653445,666828.4967823279,42156.999999999905
176,351853.69680909324,0.8801859966732899,-2.1760371282653068e-14,0,0,0,2077085.6184956084,661550.3936181865,42156.99999999995
177,349254.2601905137,0.8792942426042167,-2.1760371282653068e-14,0,0,0,2054110.4389348805,656351.5203810275,42156.99999999991
178,346693.55340100895,0.8784027000604816,-2.1760371282653068e-14,0,0,0,2031561.0162331779,651230.1068020179,42156.99999999993
179,344170.7174805851,0.8775113690420858,-2.1760371282653068e-14,0,0,0,2009426.3685598108,646184.4349611703,42156.99999999993
180,341684.91868324974,0.8766202495490283,-2.1760371282653068e-14,0,0,0,1987695.875813634,641212.8373664996,42156.99999999991
181,339235.3475585949,0.8757293415813094,-2.1760371282653068e-14,0,0,0,1966359.2651625802,636313.6951171899,42156.99999999992
182,336821.21807321656,0.8748386451389294,-2.1760371282653068e-14,0,0,0,1945406.59726138,631485.4361464332,42156.999999999905
183,334441.7667699943,0.8739481602218883,-2.1760371282653068e-14,0,0,0,1924828.2531112419,626726.5335399886,42156.999999999935
184,332096.2519633278,0.8730578868301857,-2.1760371282653068e-14,0,0,0,1904614.9215271315,622035.5039266557,42156.99999999992
185,329783.9529685618,0.8721678249638218,-2.1760371282653068e-14,0,0,0,1884757.5871805507,617410.9059371237,42156.999999999935
186,327504.16936389956,0.8712779746227962,-2.1760371282653068e-14,0,0,0,1865247.5191874087,612851.3387277992,42156.99999999993
187,325256.2202832402,0.8703883358071102,-2.1760371282653068e-14,0,0,0,1846076.26021268,608355.4405664805,42156.99999999993
188,323039.44373840524,0.869498908516762,-2.1760371282653068e-14,0,0,0,1827235.6160647618,603921.8874768105,42156.99999999993
189,320853.19596938806,0.8686096927517529,-2.1760371282653068e-14,0,0,0,1808717.6457547105,599549.3919387762,42156.99999999993
190,318696.85082123,0.8677206885120823,-2.1760371282653068e-14,0,0,0,1790514.6519961085,595236.7016424601,42156.99999999993
191,316569.79914630164,0.8668318957977503,-2.1760371282653068e-14,0,0,0,1772619.172123532,590982.5982926033,42156.99999999994
192,314471.4482307633,0.8659433146087572,-2.1760371282653068e-14,0,0,0,1755023.9694082628,586785.8964615266,42156.99999999994
193,312401.22124408325,0.8650549449451028,-2.1760371282653068e-14,0,0,0,1737722.024751431,582645.4424881666,42156.99999999993
194,310358.556710535,0.8641667868067873,-2.1760371282653068e-14,0,0,0,1720706.5287357497,578560.1134210702,42156.999999999905
195,308342.9080016567,0.8632788401938097,-2.1760371282653068e-14,0,0,0,1703970.8740180894,574528.8160033135,42156.99999999993
196,306353.7428487162,0.8623911051061716,-2.1760371282653068e-14,0,0,0,1687508.648046207,570550.4856974324,42156.999999999935
197,304390.54287424794,0.8615035815438716,-2.1760371282653068e-14,0,0,0,1671313.6260836208,566624.085748496,42156.99999999993
198,302452.80314182787,0.8606162695069107,-2.1760371282653068e-14,0,0,0,1655379.764527947,562748.6062836559,42156.99999999992
199,300540.03172323015,0.8597291689952882,-2.1760371282653068e-14,0,0,0,1639701.1945082631,558923.0634464603,42156.99999999995
200,298651.7492822159,0.8588422800090048,-2.1760371282653068e-14,0,0,0,1624272.2157483748,555146.4985644318,42156.99999999995
201,296787.4886741907,0.8579556025480599,-2.1760371282653068e-14,0,0,0,1609087.2906831335,551417.9773483815,42156.99999999991
202,294946.794561048,0.8570691366124534,-2.1760371282653068e-14,0,0,0,1594141.0388159978,547736.5891220961,42156.99999999991
203,293129.22304051823,0.856182882202186,-2.1760371282653068e-14,0,0,0,1579428.231306391,544101.4460810366,42156.99999999991
204,291334.3412893915,0.855296839317257,-2.1760371282653068e-14,0,0,0,1564943.7857761332,540511.6825787831,42156.99999999991
205,289561.727220021,0.8544110079576667,-2.1760371282653068e-14,0,0,0,1550682.7613248536,536966.4544400421,42156.999999999935
206,287810.9691495218,0.8535253881234152,-2.1760371282653068e-14,0,0,0,1536640.3537446451,533464.9382990436,42156.999999999935
207,286081.66548112844,0.8526399798145021,-2.1760371282653068e-14,0,0,0,1522811.8909248817,530006.330962257,42156.999999999935
208,284373.4243971932,0.8517547830309279,-2.1760371282653068e-14,0,0,0,1509192.8284385325,526589.8487943864,42156.99999999993
209,282685.86356332677,0.8508697977726927,-2.1760371282653068e-14,0,0,0,1495778.7453017172,523214.7271266536,42156.99999999993
210,281018.6098432148,0.8499850240397956,-2.1760371282653068e-14,0,0,0,1482565.339898711,519880.2196864297,42156.99999999993
211,279371.2990236723,0.8491004618322379,-2.1760371282653068e-14,0,0,0,1469548.4260650722,516585.59804734465,42156.99999999993
212,277743.57554948714,0.848216111150018,-2.1760371282653068e-14,0,0,0,1456723.929321672,513330.15109897434,42156.99999999992
213,276135.0922676813,0.8473319719931375,-2.1760371282653068e-14,0,0,0,1444087.883253218,510113.18453536276,42156.99999999994
214,274545.5101807647,0.8464480443615955,-2.1760371282653068e-14,0,0,0,1431636.4260246172,506934.0203615295,42156.99999999992
215,272974.4982086488,0.8455643282553922,-2.1760371282653068e-14,0,0,0,1419365.7970294286,503791.9964172977,42156.99999999992
216,271421.73295884323,0.8446808236745273,-2.1760371282653068e-14,0,0,0,1407272.333664467,500686.4659176865,42156.99999999993
217,269886.89850461605,0.8437975306190015,-2.1760371282653068e-14,0,0,0,1395352.468225227,497616.79700923216,42156.99999999993
218,268369.6861707858,0.8429144490888142,-2.1760371282653068e-14,0,0,0,1383602.7249168428,494582.37234157167,42156.999999999935
219,266869.79432685307,0.8420315790839653,-2.1760371282653068e-14,0,0,0,1372019.7169757497,491582.5886537062,42156.999999999935
220,265386.92818717024,0.8411489206044552,-2.1760371282653068e-14,0,0,0,1360600.1438972617,488616.8563743406,42156.99999999992
221,263920.799617875,0.8402664736502841,-2.1760371282653068e-14,0,0,0,1349340.7887646246,485684.5992357501,42156.99999999994
222,262471.1269503211,0.8393842382214516,-2.1760371282653068e-14,0,0,0,1338238.5156752716,482785.2539006423,42156.99999999991
223,261037.6348007572,0.8385022143179577,-2.1760371282653068e-14,0,0,0,1327290.2672602632,479918.26960151445,42156.99999999991
224,259620.0538960035,0.8376204019398023,-2.1760371282653068e-14,0,0,0,1316493.06229297,477083.10779200704,42156.99999999992
225,258218.1209049015,0.8367388010869856,-2.1760371282653068e-14,0,0,0,1305843.99338338,474279.24180980306,42156.99999999992
226,256831.57827531014,0.835857411759508,-2.1760371282653068e-14,0,0,0,1295340.2247544632,471506.1565506204,42156.99999999992
227,255460.17407643795,0.8349762339573689,-2.1760371282653068e-14,0,0,0,1284978.9900972594,468763.34815287596,42156.99999999992
228,254103.66184631307,0.8340952676805684,-2.1760371282653068e-14,0,0,0,1274757.5905015194,466050.3236926262,42156.999999999935
229,252761.8004441883,0.8332145129291065,-2.1760371282653068e-14,0,0,0,1264673.3924587858,463366.6008883767,42156.99999999992
